"A. Krzyzak"	["E. Skubalska-Rafajtowicz"]
"Ahmed Hassan"	["Parminder Flora"]
"Alexander Gelbukh"	["Carlos Alberto Reyes-Garcia "]
"Alice Redmond-neal"	["Marjorie M. K. Hlava"]
"Allan Hunkin"	[]
"Amir Ahmad"	["Lipika Dey "]
"Amitabh Chaudhary"	["Christian Scheideler ","Amitabha Bagchi","David Eppstein","Ankur Bhargava"]
"Amitabha Bagchi"	["Christian Scheideler ","Amitabh Chaudhary","David Eppstein","Ankur Bhargava"]
"Andreas N\u00fcrnberger"	["Marcin Detyniecki "]
"Anita Kesavan"	["Neil Daswani"]
"Ankur Bhargava"	["Christian Scheideler ","Amitabh Chaudhary","Amitabha Bagchi","David Eppstein"]
"Arthur Greef"	["Hans J. Skovgaard","Palle Agermark","Lars Dragheim Olsen","Michael Fruergaard Pontoppidan"]
"Axel Bucker"	[]
"Barry Smyth"	["Helen Ashman","Vincent Wade"]
"Bart Preneel"	["Bart Preneel "]
"Ben Long"	["Ben Long "]
"Brenden Munnelly"	["Paul Holden "]
"Bruce Shriver"	["Bruce Shriver ","Ted Lewis"]
"Carla Rose"	["Carla Rose "]
"Carlito Vicencio"	["Darrel Creacy"]
"Carlos Alberto Reyes-Garcia"	["Alexander Gelbukh","Carlos Alberto Reyes-Garcia "]
"Catholijn M. Jonker"	["Jan Treur","Tibor Bosse"]
"Cay S. Horstmann"	["Cay S. Horstmann "]
"Celso H. Poderoso de Oliveira"	["Celso H. Poderoso de Oliveira "]
"Charles J. Brooks"	["Charles J. Brooks "]
"Charles S. Wetherell"	["James R. McGraw","Charles S. Wetherell "," Jr.","Lyle A. Cox"]
"Cheng-Lin Liu"	[" Hiroshi Sako"]
"Christian Scheideler"	["Christian Scheideler ","Amitabha Bagchi","Amitabh Chaudhary","Ankur Bhargava","David Eppstein"]
"Clemens Gr\u00f6pl"	["Nico Pfeifer","Marc Sturm","Knut Reinert","Eva Lange","Oliver Kohlbacher","Ole Schulz-Trieglaff"]
"Constantine Caramanis"	["Vahid Tarokh","Michael Rosenblum","Michel X. Goemans"]
"Daeyeol Lee"	["Jeong-woo Sohn","Daeyeol Lee "]
"Damian Hodgson"	["Svetlana Cicmil "]
"Damien Stolarz"	["Damien Stolarz ","Lionel Felix"]
"Dan Irish"	["Dan Irish "]
"Dan Oja"	["June Jamrich Parsons","Dan Oja "]
"Darrel Creacy"	["Carlito Vicencio"]
"David A. Marca"	[]
"David Cope"	["David Cope "]
"David Eppstein"	["Christian Scheideler ","Amitabh Chaudhary","Amitabha Bagchi","Ankur Bhargava"]
"David J. Horntrop"	["David J. Horntrop "]
"David M. Lane"	[]
"Dean Bagley"	["Dean Bagley "]
"Deborah Timmons"	["Deborah Timmons "]
"Denise Seguin"	["Nita Hewitt Rutkosky","Denise Seguin "]
"Derrick Story"	["Derrick Story "]
"Donald Christiansen"	[]
"Dongming Wang"	["Hoon Hong"]
"Donna Ulmer"	[]
